"City","Year","Period","n_obs","n_obs_RG","n_taxa","n_users","n_obs_all","taxa"
"Burlington/Winooski, Vermont, USA",2022,"during",25,1,14,9,3696,"200925 55576 227661 155090 344442 117943 117887 69468 117877 372229 54734 54735 154129 117939 59954 462696"
"Cabarrus County, North Carolina, USA",2018,"during",44,5,12,26,6943,"67747 155091 54734 117943 54735 322661 205846 121176 119778 49490 200925 69436 54607 83475 148365"
"Calgary, Canada",2019,"before",4,0,4,3,223,"117988 532267 174751 69430"
"Calgary, Canada",2019,"during",43,2,13,23,4460,"174748 532755 344442 117877 117887 124439 463837 67747 117943 69430 55576 174751 182455 222950 69468 54734 532267"
"Calgary, Canada",2019,"after",1,0,1,1,191,"67747"
"Calgary, Canada",2020,"before",1,0,1,1,130,"532267"
"Calgary, Canada",2020,"during",98,11,24,36,5544,"182455 532267 69430 55576 463837 174748 344442 67747 117877 155090 154108 223638 117942 117887 223123 182679 117951 117943 54294 180500 54734 1019864 182461 117971 229244 229246 174751 155093 179037 532755 117938"
"Calgary, Canada",2020,"after",14,1,8,2,612,"49490 182605 54734 69729 179037 49488 174748 182679 117887"
"Calgary, Canada",2021,"before",10,0,4,2,353,"69430 54734 344442 155090"
"Calgary, Canada",2021,"during",163,35,35,35,6732,"69430 54734 532267 182679 344442 117877 117887 175488 67747 182461 463837 54735 117988 124439 182455 54757 174748 49490 179037 532755 155090 182605 502154 175433 60718 233697 320843 123894 179720 119676 194513 117971 54613 235279 179804 119695 154108 117943 174751 532146 123175 50252 69468"
"Calgary, Canada",2021,"after",1,1,1,1,624,"54734"
"Calgary, Canada",2022,"before",5,1,5,3,248,"54757 54734 54322 532267 182679"
"Calgary, Canada",2022,"during",161,4,34,25,6776,"532267 463837 180500 117943 54734 344442 182679 182682 182542 182502 117887 155090 117877 182461 69430 67747 69729 49490 54294 54735 212280 1019864 532349 174748 532755 175859 218461 182455 119675 179037 632126 54613 54757 223480 69436 117971 463984 117938 464002 463825 182670 49488 320843"
"Calgary, Canada",2022,"after",3,0,2,1,716,"532267 182461"
"Cape Town, Western Cape, South Africa",2019,"during",200,75,32,88,53869,"67747 174925 117867 55554 48711 117988 960311 55576 49490 117899 60724 54735 881397 583820 1080564 55553 355354 597051 405312 48325 117980 83475 229759 232361 203713 992273 57807 117943 179037 125773 597056 117951 117938 117865 71060 230304 154184 55247"
"Cape Town, Western Cape, South Africa",2019,"after",7,2,7,2,883,"117942 893203 48325 864248 67747 55247 117962"
"Cape Town, Western Cape, South Africa",2020,"during",110,76,20,43,33771,"55576 60724 117867 124439 50252 69468 174748 117951 175712 55553 69430 355350 67747 117980 117943 464002 1080564 69211 117938 229759 203713 532267 174751 992273"
"Cape Town, Western Cape, South Africa",2021,"before",9,2,6,1,863,"67747 60724 57807 117958 123114 48711"
"Cape Town, Western Cape, South Africa",2021,"during",226,51,37,114,71214,"117943 117867 117899 49490 881397 55576 83475 229759 502154 67747 54757 154184 60724 55553 48325 203800 179037 69163 55554 54294 117942 117951 597051 601832 352781 118252 48711 355350 700540 55247 182461 117938 203713 344442 175944 355354 57807 182631 69430 69468 176035 597025 154205 175055 117865 69437 893203 463344"
"Cape Town, Western Cape, South Africa",2021,"after",1,1,1,1,595,"597051"
"Cape Town, Western Cape, South Africa",2022,"before",12,3,8,6,1526,"464002 54735 55576 960311 55554 117867 57807 60724 49490"
"Cape Town, Western Cape, South Africa",2022,"during",300,89,40,152,66569,"49490 355350 60724 117942 123894 55576 155495 1080564 117958 57807 229759 232361 117867 355354 69163 67747 502154 55553 48325 55554 117943 69211 182679 50252 203800 117892 532349 54757 174925 463837 175055 117938 117951 69430 175758 83475 175657 461903 48711 597051 531563 502882 227252 532267 117887 217100 464002 154184 117980 69437"
"Cape Town, Western Cape, South Africa",2022,"after",10,3,8,5,1511,"67747 69163 55554 703494 55553 117867 355350 83475 60724"
"Central Taiwan, Taiwan",2020,"during",4,0,4,3,4729,"175845 67747 117425 49490"
"Central Taiwan, Taiwan",2021,"during",3,0,2,3,3617,"117943 69468"
"Central Taiwan, Taiwan",2021,"after",3,0,3,3,1093,"123348 227235 67747"
"Central Taiwan, Taiwan",2022,"before",2,0,2,1,2216,"54294 155495"
