"Year","City","Period","Observations.All"
2022,"Davao City, Philippines","after",12
2021,"Edinburgh, Scotland","before",285
2021,"Edinburgh, Scotland","during",1332
2021,"Edinburgh, Scotland","after",412
2022,"Edinburgh, Scotland","before",334
2022,"Edinburgh, Scotland","during",996
2022,"Edinburgh, Scotland","after",387
2018,"El Paso, Texas, USA","before",340
2018,"El Paso, Texas, USA","during",307
2018,"El Paso, Texas, USA","after",24
2019,"El Paso, Texas, USA","before",382
2019,"El Paso, Texas, USA","during",1186
2019,"El Paso, Texas, USA","after",35
2020,"El Paso, Texas, USA","before",142
2020,"El Paso, Texas, USA","during",1503
2020,"El Paso, Texas, USA","after",136
2021,"El Paso, Texas, USA","before",320
2021,"El Paso, Texas, USA","during",1073
2021,"El Paso, Texas, USA","after",68
2022,"El Paso, Texas, USA","before",494
2022,"El Paso, Texas, USA","during",2748
2022,"El Paso, Texas, USA","after",80
2019,"Ensenada, Baja California, México","before",351
2019,"Ensenada, Baja California, México","during",11215
2019,"Ensenada, Baja California, México","after",418
2020,"Ensenada, Baja California, México","before",163
2020,"Ensenada, Baja California, México","during",7576
2020,"Ensenada, Baja California, México","after",452
2021,"Ensenada, Baja California, México","before",711
2021,"Ensenada, Baja California, México","during",6976
2021,"Ensenada, Baja California, México","after",334
2022,"Ensenada, Baja California, México","before",598
2022,"Ensenada, Baja California, México","during",8139
2022,"Ensenada, Baja California, México","after",353
2022,"Erie, Pennsylvania, USA","before",156
2022,"Erie, Pennsylvania, USA","during",2447
2022,"Erie, Pennsylvania, USA","after",198
2020,"eThekwini, Kwa-Zulu Natal, South Africa","before",186
2020,"eThekwini, Kwa-Zulu Natal, South Africa","during",2071
2020,"eThekwini, Kwa-Zulu Natal, South Africa","after",161
2021,"eThekwini, Kwa-Zulu Natal, South Africa","before",104
2021,"eThekwini, Kwa-Zulu Natal, South Africa","during",7416
2021,"eThekwini, Kwa-Zulu Natal, South Africa","after",173
2022,"eThekwini, Kwa-Zulu Natal, South Africa","before",260
2022,"eThekwini, Kwa-Zulu Natal, South Africa","during",12964
2022,"eThekwini, Kwa-Zulu Natal, South Africa","after",207
2020,"Eugene-Springfield, Oregon, USA","before",322
2020,"Eugene-Springfield, Oregon, USA","during",2878
2020,"Eugene-Springfield, Oregon, USA","after",356
2021,"Eugene-Springfield, Oregon, USA","before",506
2021,"Eugene-Springfield, Oregon, USA","during",2378
2021,"Eugene-Springfield, Oregon, USA","after",1010
2022,"Eugene-Springfield, Oregon, USA","before",386
2022,"Eugene-Springfield, Oregon, USA","during",726
2022,"Eugene-Springfield, Oregon, USA","after",756
2019,"Eugene-Springfield, Oregon, USA","before",114
2019,"Eugene-Springfield, Oregon, USA","during",2851
2019,"Eugene-Springfield, Oregon, USA","after",123
2021,"Fairfield and Westchester County, Connecticut and New York, USA","before",1075
2021,"Fairfield and Westchester County, Connecticut and New York, USA","during",2791
2021,"Fairfield and Westchester County, Connecticut and New York, USA","after",1343
2022,"Fairfield and Westchester County, Connecticut and New York, USA","before",1344
